OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety,Root stock,Growing system,Row spacing,Tree spacing,# trees,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,11RK1,Rockit,,,2.8,1.6,3635,1.628,Conventional,P11RK,F,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,13RK1,Rockit,,,2.8,1.6,6991,3.131,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,13RK2,Rockit,,,2.8,1.6,681,0.305,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,14RK1,Rockit,,,2.8,1.6,5000,2.24,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,15RK1,Rockit,,,2.8,1.6,2227,0.998,Conventional,P13RK,G,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,16RK1,Rockit,,,2.8,1.6,10228,4.58,Conventional,P16RK,H,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,17RK1,Rockit,,,2.8,1.6,8410,3.76,Conventional,P16RK,H,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,18RK1,Rockit,,,2.8,1.6,5909,2.647,Conventional,P18RK,I,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,19RK1,Rockit,,,2.8,1.6,8410,3.767,Conventional,P18RK,I,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,8RK1,Rockit,,,2.8,1.6,6800,3.046,Conventional,P8RK,E,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,9RK1,Rockit,,,2.8,1.6,8479,3.798,Conventional,P8RK,E,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AA,Rockit,M116,,4.9,1.7,444,0.37,Conventional,A,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AE,Rockit,CG202,,3.8,1.6,400,0.243,Conventional,E,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AFAO,Rockit,CG202,,3.8,1.6,1700,1.034,Conventional,F,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AFAO2,Rockit,M793,,4.9,3.3,65,0.129,Conventional,F,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AJ,Rockit,M793,,3.9,1.6,1748,1.097,Conventional,J,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AQ,Rockit,CG202,,3.9,1.6,972,0.606,Conventional,Q,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AZ,Rockit,M26,,4,2,875,0.7,Conventional,Z,A,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 30,Rockit,,,3.2,0.8,14304,3.844,Conventional,30,M,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 31,Rockit,,,3.2,0.8,14309,3.85,Conventional,31,N,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 32,Rockit,,,3.2,0.8,14798,3.99,Conventional,32,O,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 36,Rockit,,,3.2,0.8,14389,3.904,Conventional,36,S,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 37,Rockit,,,3.2,0.8,14772,3.98,Conventional,37,T,,
IND - Braemark,R2933,,Independent Sector,BRAE-RKT1,Rockit,,,2.8,1.7,10738,4.93,Conventional,RKT1,A,,
IND - Braemark,R2933,,Independent Sector,BRAE-RKT2,Rockit,,,2.8,1.7,6875,3.2,Conventional,RKT2 ,B,,
IND - Colaghty Orchard,R2929,,Independent Sector,COL-HOUSE,Rockit,M9,,,,12169,4.75,Conventional,A,A,,
IND - Colaghty Orchard,R2929,,Independent Sector,COL-OFFICE,Rockit,M9,,,,10191,3.97,Conventional,B,B,,
IND - Cronien Bun Orchard,R2936,,Independent Sector,CRO-BLOOM,Rockit,M9,,,,6681,2.41,Conventional,A,A,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A1,Rockit,M.9,Spindle,3,1.4,4389,1.83414,Conventional,A,A,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A2,Rockit,M.9,Spindle,3,1.4,6729,2.82618,Conventional,B,B,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN B1,Rockit,M.9,Spindle,3,1.4,4376,1.83792,Conventional,C,C,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN B2,Rockit,M.9,Spindle,3,1.4,3881,1.63002,Conventional,D,D,,
IND - Crystall Road,R1811,,Independent Sector,CRY-ROCK,Rockit,CG202,,2.8,1.5,11874,4.987,Conventional,ROCK,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 1,Rockit,CG202,,3.5,1.5,734,0.39,Conventional,A1,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 2,Rockit,CG202,,1.5,3.5,819,0.43,Conventional,A1,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 3,Rockit,CG202,,3.5,1.5,2080,1.09,Conventional,A1,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A2,Rockit,M116,,3.5,2,1235,0.86,Conventional,A1,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A3,Rockit,M9,,3.5,1.5,1826,0.96,Conventional,A1,A,,
IND - Cypress,R2710,,Independent Sector,CYP-C1 1,Rockit,CG202,,3.5,1.5,4949,2.6,Conventional,C1,C,,
IND - Cypress,R2710,,Independent Sector,CYP-C1 2,Rockit,CG202,,3.5,1.5,1553,0.82,Conventional,C1,C,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR1,Rockit,M.9,2D,2.8,1.5,7273,3,Conventional,DR1,A,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR2,Rockit,M.9,2D,2.8,1.5,8466,3.46,Conventional,DR2,C,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR3,Rockit,M.9,2D,2.8,1.5,8040,3.32,Conventional,DR3,E,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR4,Rockit,M.9,2D,2.8,1.5,5955,2.46,Conventional,DR4,G,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR5,Rockit,M.9,2D,2.8,1.5,3501,1.44,Conventional,DR5,I,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR6,Rockit,M.9,2D,2.8,1.5,4574,1.88,Conventional,DR6,K,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR7,Rockit,M.9,2D,2.8,1.5,4163,1.71,Conventional,DR7,M,,
Dartmoor,R2150,,Independent Sector,DTM A,Rockit,M.9,Spindle,3,1.4,4435,1.8627,Conventional,A,A,,
Dartmoor,R2150,,Independent Sector,DTM B,Rockit,M.9,Spindle,3,1.4,1223,0.51366,Conventional,B,A,,
Dartmoor,R2150,,Independent Sector,DTM C,Rockit,M.9,Spindle,3,1.4,4634,1.94628,Conventional,C,B,,
Dartmoor,R2150,,Independent Sector,DTM D,Rockit,M.9,Spindle,3,1.4,4620,1.9404,Conventional,D,B,,
IND - Global Orchard,R2124,,Independent Sector,GLO-A,Rockit,MM.106,,4,1.4,5230,2.9,Conventional,A,A,,
IND - Global Orchard,R2124,,Independent Sector,GLO-B,Rockit,MM.106,,4,2,2340,1.87,Conventional,B,B,,
IND - Global Orchard,R2124,,Independent Sector,GLO-C,Rockit,MM.106,,4,2,1800,1.44,Conventional,C,C,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA E,Rockit,CG202,,3.6,2,644,0.463,Conventional,C2,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GK,Rockit,M793,,4.5,2.5,521,0.57,Conventional,K,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GMGN,Rockit,M116,,4,2,328,0.26,Conventional,M1,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GMGN2,Rockit,M116,,4,2,333,0.27,Conventional,M2,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GT,Rockit,CG202,,4,1.5,938,0.56,Conventional,T,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA-GCGE  ,Rockit,CG202,,3.8,1.8,521,0.356,Conventional,C1,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A1,Rockit,M.9,Spindle,3,1.4,4472,1.87824,Conventional,A,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A2,Rockit,M.9,Spindle,3,1.4,6165,2.5893,Conventional,C,C,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B1,Rockit,M.9,Spindle,3,1.4,3973,1.66866,Conventional,B,B,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B2,Rockit,M.9,Spindle,3,1.4,5034,2.11428,Conventional,D,D,,
Lowry Heretaunga,R2946,Shane Crawford,Crownthorpe Sector,HERE A1,Rockit,M.9,Spindle,3,1.4,3995,1.6779,Conventional,4,A,,
Lowry Heretaunga,R2946,Shane Crawford,Crownthorpe Sector,HERE B1,Rockit,M.9,Spindle,3,1.4,8508,3.57336,Conventional,8,B,,
Lowry Heretaunga,R2946,Shane Crawford,Crownthorpe Sector,HERE C1,Rockit,M.9,Spindle,3,1.4,7957,3.34194,Conventional,10,C,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME A,Rockit,CG202,FOPS,2.2,3,4722,3.11652,Conventional,A,A,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME B,Rockit,CG202,FOPS,2.2,3,4644,3.065,Conventional,B,B,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME C,Rockit,M.9,Spindle,3.5,1.4,6424,3.14776,Conventional,C,C,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D1,Rockit,M.9,FOPS,2.2,2.4,1268,0.669504,Conventional,D1,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D2,Rockit,M.9,Spindle,3,1.4,1424,0.59808,Conventional,D2,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D3,Rockit,CG202,FOPS,2.2,3,3586,2.36676,Conventional,D3,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E1-7,Rockit,M.9/M.26,Spindle,3.5,1.5,4269,2.241225,Conventional,E1-7,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E8,Rockit,M.793,Spindle,5,1.4,458,0.3206,Conventional,E8,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F1,Rockit,M.9,Spindle,3.5,1.4,980,0.4802,Conventional,F1,F,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F2,Rockit,M.9,FOPS,2.2,2.4,3632,1.917696,Conventional,F2,F,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-A3,Rockit,MM.106,,5,2.5,570,0.7125,Conventional,A3,A,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B1,Rockit,M.26,,4.1,1.8,1543,1.11,Conventional,B1,B,,
