OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety,Root stock,Growing system,Row spacing,Tree spacing,# trees,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A1,Rockit,M.9,Spindle,3,1.4,4104,1.78,Conventional,A,A,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A2,Rockit,M.9,Spindle,3,1.4,6252,2.71,Conventional,B,B,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN B1,Rockit,M.9,Spindle,3,1.4,4046,1.76,Conventional,C,C,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN B2,Rockit,M.9,Spindle,3,1.4,4519,1.9,Conventional,D,,,Non-production
IND - Cypress,R2710,,Independent Sector,CYP-A1 1,Rockit,CG202,,3.5,1.5,734,0.39,Conventional,A1,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 2,Rockit,CG202,,1.5,3.5,0,0,Conventional,,,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 3,Rockit,CG202,,3.5,1.5,0,0,Conventional,,,,
IND - Cypress,R2710,,Independent Sector,CYP-A2,Rockit,M116,,3.5,2,0,0,Conventional,,,,
IND - Cypress,R2710,,Independent Sector,CYP-A3,Rockit,M9,,3.5,1.5,0,0,Conventional,,,,
IND - Cypress,R2710,,Independent Sector,CYP-C1 1,Rockit,CG202,,3.5,1.5,4949,2.6,Conventional,C1,C,,
IND - Cypress,R2710,,Independent Sector,CYP-C1 2,Rockit,CG202,,3.5,1.5,1553,0.82,Conventional,C1,C,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR1,Rockit,M.9,2D,2.8,1.5,7273,3,Conventional,DR1,A,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR2,Rockit,M.9,2D,2.8,1.5,8466,3.46,Conventional,DR2,C,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR3,Rockit,M.9,2D,2.8,1.5,8040,3.32,Conventional,DR3,E,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR4,Rockit,M.9,2D,2.8,1.5,5955,2.46,Conventional,DR4,G,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR5,Rockit,M.9,2D,2.8,1.5,3501,1.44,Conventional,DR5,I,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR6,Rockit,M.9,2D,2.8,1.5,4574,1.88,Conventional,DR6,K,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR7,Rockit,M.9,2D,2.8,1.5,4163,1.71,Conventional,DR7,M,,
Dartmoor,R2150,,Independent Sector,DTM A,Rockit,M.9,Spindle,3,1.4,4312,1.8,Conventional,A,A,,
Dartmoor,R2150,,Independent Sector,DTM B,Rockit,M.9,Spindle,3,1.4,1233,0.51,Conventional,B,A,,
Dartmoor,R2150,,Independent Sector,DTM C,Rockit,M.9,Spindle,3,1.4,4472,1.87,Conventional,C,B,,
Dartmoor,R2150,,Independent Sector,DTM D,Rockit,M.9,Spindle,3,1.4,4501,1.89,Conventional,D,B,,
IND - Global Orchard,R2124,,Independent Sector,GLO-A,Rockit,MM.106,,4,1.4,5230,2.9,Conventional,A,A,,
IND - Global Orchard,R2124,,Independent Sector,GLO-B,Rockit,MM.106,,4,2,2340,1.87,Conventional,B,B,,
IND - Global Orchard,R2124,,Independent Sector,GLO-C,Rockit,MM.106,,4,2,1800,1.44,Conventional,C,C,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A1,Rockit,M.9,Spindle,3,1.4,4473,1.87866,Conventional,A,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A2,Rockit,M.9,Spindle,3,1.4,6078,2.55192,Conventional,C,C,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B1,Rockit,M.9,Spindle,3,1.4,3992,1.67664,Conventional,B,B,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B2,Rockit,M.9,Spindle,3,1.4,5056,2.12352,Conventional,D,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME A,Rockit,CG202,FOPS,2.2,3,4722,3.11652,Conventional,A,A,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME B,Rockit,CG202,FOPS,2.2,3,4644,3.06504,Conventional,B,B,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME C,Rockit,M.9,Spindle,3.5,1.4,6431,3.151,Conventional,C,C,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D1,Rockit,M.9,FOPS,2.2,2.4,1262,0.666336,Conventional,D1,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D2,Rockit,M.9,Spindle,3,1.4,1427,0.59934,Conventional,D,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D3,Rockit,CG202,FOPS,2.2,3,3517,2.32122,Conventional,D,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E1-7,Rockit,M.9/M.26,Spindle,3.5,1.5,3850,2.02125,Conventional,E,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E8,Rockit,M.793,Spindle,5,1.4,464,0.3248,Conventional,E,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F1,Rockit,M.9,Spindle,3.5,1.4,995,0.48755,Conventional,F,F,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F2,Rockit,M.9,FOPS,2.2,2.4,3609,1.905552,Conventional,F,F,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-A3,Rockit,MM.106,,5,2.5,570,0.7125,Conventional,A3,A,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B1,Rockit,M.26,,4.1,1.8,1543,1.11,Conventional,B1,B,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B2,Rockit,CG202,,3.5,1.5,726,0.38115,Conventional,B2,B,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B2.2,Rockit,MM102,,4.1,1.8,0,0,Conventional,,,,
IND - Korokipo,R2850,,Independent Sector,KOR-KCR1,Rockit,M.9,2D,2.8,1.5,5680,2.34,Conventional,KCR1,A,,
IND - Korokipo,R2850,,Independent Sector,KOR-KCR2,Rockit,M.9,2D,2.8,1.5,7754,3.25668,Conventional,KCR2,C,,
IND - Korokipo,R2850,,Independent Sector,KOR-KCR3,Rockit,M.9,2D,2.8,1.5,10938,4.59396,Conventional,KCR3,E,,
IND - Korokipo,R2850,,Independent Sector,KOR-KPR1,Rockit,M.9,2D,2.8,1.5,5763,2.42046,Conventional,KPR1,H,,
IND - Korokipo,R2850,,Independent Sector,KOR-KPR2,Rockit,M.9,2D,2.8,1.5,6348,2.66616,Conventional,KPR2,I,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR1,Rockit,M9,2D,2.8,1.5,0,1.14,Conventional,KVR1,,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR2,Rockit,M9,2D,2.8,1.5,0,1.58,Conventional,KVR2,,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR3,Rockit,M9,2D,2.8,1.5,0,1.8,Conventional,KVR3,,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR4,Rockit,M9,2D,2.8,1.5,0,1.17,Conventional,KVR4,,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN A1,Rockit,M.9,2D,3,1.4,4627,1.97,Conventional,A,,,Non-production
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN A2,Rockit,M.9,2D,3,1.4,4959,2.05,Conventional,B,,,Non-production
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN B1,Rockit,M.9,2D,3,1.4,4544,1.97,Conventional,C,,,Non-production
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN B2,Rockit,M.9,2D,3,1.4,5356,2.21,Conventional,D,,,Non-production
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN C1,Rockit,M.9,2D,3,1.4,3984,1.7,Conventional,E,,,Non-production
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN C2,Rockit,M.9,2D,3,1.4,5108,2.19,Conventional,F,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL A1,Rockit,M.9,2D,2.5,1.6,7517,2.683,Conventional,A1,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL A2,Rockit,M.9,2D,2.5,1.6,2442,0.93,Conventional,A2,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL B1,Rockit,M.9,2D,2.5,1.6,3862,1.489,Conventional,B1,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL B2,Rockit,M.9,2D,2.5,1.6,1584,1.559,Conventional,B2,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL B3,Rockit,M.9,2D,2.5,1.6,739,0.244,Conventional,B3,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL B4,Rockit,M.9,2D,2.5,1.6,1559,0.624,Conventional,B4,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL C1,Rockit,M.9,2D,2.5,1.6,7158,2.064,Conventional,C1,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL C2,Rockit,M.9,2D,2.5,1.6,5787,2.384,Conventional,C2,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL D1,Rockit,M.9,2D,2.5,1.6,9659,4.13,Conventional,D1,,,Non-production
IND - Longlands,R2329,,Independent Sector,LGL D2,Rockit,M.9,2D,2.5,1.6,7948,0,Conventional,D2,,,Non-production
Lobb,R2899,Todd Blackman,Havelock Sector,LOBB A,Rockit,CG202,Spindle,3.5,1.4,5665,2.77585,Conventional,A,A,,
Lobb,R2899,Todd Blackman,Havelock Sector,LOBB B,Rockit,CG202,Spindle,3.5,1.4,5520,2.7048,Conventional,B,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR A1,Rockit,CG202,Spindle,3.5,1.4,2392,1.11034,Conventional,A,A,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR A2,Rockit,CG202,Spindle,3.5,1.4,2177,0.99421,Conventional,B,A,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR B1,Rockit,M.9,2D,3,1.4,3956,1.66152,Conventional,C,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR B2,Rockit,M.9,2D,3,1.6,3960,1.6632,Conventional,D,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR C1,Rockit,M.9,2D,3,1.6,1701,0.71442,Conventional,E,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR C2,Rockit,M.9,2D,3,1.4,2767,1.16214,Conventional,G,C,,Non-production
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY 10,Rockit,M9,Spindle,3,1.4,0,0,Conventional,,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY 4,Rockit,M9,Spindle,3,1.4,3972,1.682,Conventional,4,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY 8,Rockit,M9,Spindle,3,1.4,9115,3.746,Conventional,8,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY A1,Rockit,CG202,Spindle,2.8,1.4,9094,2.745,Conventional,3,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY A2,Rockit,CG202,Spindle,2.8,1.4,9196,3.751,Conventional,2,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY B1,Rockit,CG202,Twin Leader,2.8,1.4,6508,3.751,Conventional,1,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY B2,Rockit,CG41,Spindle,3,1.4,0,0,Conventional,,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY B3,Rockit,M.9,Spindle,3,1.4,0,0,Conventional,,,(excluded),
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY D1,Rockit,CG202,2D,2.5,1.4,3913,1.638,Conventional,9A,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY D2,Rockit,M9,2D,2.5,1.4,4819,1.744,Conventional,9B,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY D3,Rockit,CG202,FOPS,2.2,2.8,2851,1.752,Conventional,12B,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY D4,Rockit,M.9,FOPS,2.2,2.4,2020,1.717,Conventional,12A,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY F1,Rockit,M.9,FOPS,2.2,2.4,9554,2.643,Conventional,13,,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY NUR,Rockit,M116/CG202,Spindle,3,1,1,0.48,Conventional,10,,,
Mana 1,R2926,Andrew Culver,Maraekakaho Sector,MANA1 - A1,Rockit,M.9,2D,3,1.4,7916,3.26,Conventional,1,A,,
