OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety,Root stock,Growing system,Row spacing,Tree spacing,# trees,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,11RK1,Rockit,,,2.8,1.6,3635,1.628,Conventional,P11RK,F,26/02 - 08/03,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,13RK1,Rockit,,,2.8,1.6,6991,3.131,Conventional,P13RK,G,26/02 - 08/03,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,13RK2,Rockit,,,2.8,1.6,681,0.305,Conventional,P13RK,G,26/02 - 08/03,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,14RK1,Rockit,,,2.8,1.6,5000,2.24,Conventional,P13RK,G,26/02 - 08/03,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,15RK1,Rockit,,,2.8,1.6,2227,0.998,Conventional,P13RK,G,26/02 - 08/03,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,16RK1,Rockit,,,2.8,1.6,10228,4.58,Conventional,P16RK,H,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,17RK1,Rockit,,,2.8,1.6,8410,3.76,Conventional,P16RK,H,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,18RK1,Rockit,,,2.8,1.6,5909,2.647,Conventional,P18RK,I,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,19RK1,Rockit,,,2.8,1.6,8410,3.767,Conventional,P18RK,I,,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,8RK1,Rockit,,,2.8,1.6,6800,3.046,Conventional,P8RK,E,26/02 - 08/03,
IND - Ngati Pahauwera Commercial Development Ltd,R2920,,Independent Sector,9RK1,Rockit,,,2.8,1.6,8479,3.798,Conventional,P8RK,E,26/02 - 08/03,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AA,Rockit,M116,,4.9,1.7,444,0.37,Conventional,A,A,11/03 - 22/03,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AE,Rockit,CG202,,3.8,1.6,400,0.243,Conventional,E,A,11/03 - 22/03,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AFAO,Rockit,CG202,,3.8,1.6,1700,1.034,Conventional,F,A,11/03 - 22/03,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AFAO2,Rockit,M793,,4.9,3.3,65,0.129,Conventional,F,A,11/03 - 22/03,Non-production
IND - Awahou Orchard,R1352,,Independent Sector,AWA AJ,Rockit,M793,,3.9,1.6,1748,1.097,Conventional,J,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AM,Rockit,,,,,0,0,Conventional,M,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AQ,Rockit,CG202,,3.9,1.6,972,0.606,Conventional,Q,A,,
IND - Awahou Orchard,R1352,,Independent Sector,AWA AZ,Rockit,M26,,4,2,875,0.7,Conventional,Z,A,,
IND - black bridge,R1351,,Independent Sector,BBO-A,Rockit,MM106,,1.9,4.5,2115,1.81,Conventional,A,A,,
IND - Springhill East,R2949,,Independent Sector,BLOCK 30,Rockit,,,3.2,0.8,14304,3.844,Conventional,30,M,16/03 - 27/03,
IND - Springhill East,R2949,,Independent Sector,BLOCK 31,Rockit,,,3.2,0.8,14309,3.85,Conventional,31,N,16/03 - 27/03,
IND - Springhill East,R2949,,Independent Sector,BLOCK 32,Rockit,,,3.2,0.8,14798,3.99,Conventional,32,O,16/03 - 27/03,
IND - Springhill East,R2949,,Independent Sector,BLOCK 36,Rockit,,,3.2,0.8,14389,3.904,Conventional,36,S,16/03 - 27/03,
IND - Springhill East,R2949,,Independent Sector,BLOCK 37,Rockit,,,3.2,0.8,14772,3.98,Conventional,37,T,16/03 - 27/03,
IND - Braemark,R2933,,Independent Sector,BRAE-RKT1,Rockit,,,2.8,1.7,10738,4.93,Conventional,RKT1,A,19/02 - 01/03,
IND - Braemark,R2933,,Independent Sector,BRAE-RKT2,Rockit,,,2.8,1.7,6875,3.2,Conventional,RKT2 ,B,24/02 - 06/03,
